gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_per_tenure
1,0,1,0,1.0421577558197987,1,2,1,0,0,2,0,2,2,1,0,1,1.181757322309704,1.4990665744239262,0,1.4384257719645397
1,0,0,0,0.6754621043330061,1,2,1,0,2,2,0,2,2,0,1,0,1.2931128075977727,1.2145888969272465,1,1.798159939892717
1,0,0,0,-0.3023929662984406,1,0,1,2,0,2,2,2,2,0,1,2,1.3529456056630036,0.1776880570752443,0,-0.5876064488215598
0,0,1,1,1.490341329859212,1,2,1,2,2,2,2,2,2,2,0,1,1.6105590417771916,2.475877681529266,0,1.6612823062238733
0,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,1,0,3,-1.4675060142452372,-0.5560508161330804,0,-0.6970728429511475
1,0,0,1,1.5718292524118322,1,2,1,2,0,2,0,2,2,2,0,0,1.3928341377064908,2.249592630679317,0,1.43119402265069
0,0,1,1,-0.9135523854430948,1,0,0,0,0,2,2,0,0,0,0,1,-0.3190486958265014,-0.7742621363716935,1,0.8475289963762263
0,0,0,0,-0.4653688114036817,1,0,1,0,2,2,0,0,2,0,1,2,0.8393807556031058,-0.1854754048220754,0,0.3985557267205553
1,1,0,0,-1.2802480369298874,0,1,0,0,0,2,0,0,2,0,1,2,-0.8359375902233565,-0.9898704505662146,1,0.773186462320211
1,0,1,0,-0.8320644628904743,1,0,2,1,1,1,1,1,1,1,0,0,-1.495760391109374,-0.9181333687409045,0,1.1034401896596315
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4841262359300234,-0.9984736061356706,1,0.7799063754318039
0,0,1,0,1.0421577558197987,1,2,0,0,2,0,2,0,0,2,1,1,-0.16281861198951,0.5390426503656527,0,0.5172370952050559
1,0,1,1,0.6754621043330061,1,0,0,2,2,0,2,0,0,0,0,1,-0.1727907450003817,0.3030955940300073,0,0.44872331413662797
0,0,0,0,-0.0986731599168891,1,0,0,2,2,0,0,0,0,0,1,0,-0.3157246514895444,-0.3320819994749083,0,3.3654744588560446
1,0,1,1,0.5939741817803856,1,2,1,0,2,0,0,2,2,0,1,2,1.1485168789401314,1.0879019163236925,1,1.8315643165883098
1,0,1,1,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,0,2,-1.150059780065818,-0.9940396721114126,1,0.7764430355973676
1,0,1,0,1.6125732136881423,1,2,0,2,2,2,2,2,2,2,1,1,0.8460288442770204,1.802757966025724,0,1.11793867758885
0,0,0,1,-0.6283446565089229,1,0,0,0,0,0,0,2,2,0,1,3,-0.0032644838155611,-0.5251015154562937,1,0.8356902696901297
0,1,1,0,1.5718292524118322,1,2,1,2,2,2,2,0,0,2,1,1,1.0487955488314131,1.9781299834030968,0,1.2584891013879733
1,1,1,0,-1.2395040756535771,1,0,1,0,0,2,0,2,2,0,1,1,1.0205411719672768,-0.9272218305219706,0,0.7480587185911886
0,0,1,1,-0.22090504374582,1,0,0,2,2,2,2,0,0,1,0,3,0.0449341590703193,-0.1803796896001668,0,0.8165485338927665
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,0,-1.4824642137615447,-0.9984515467624158,0,0.779889144885364
1,1,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,0,0,-0.6497911073537496,-0.9873998007616528,0,0.7712566411189331
0,0,1,1,1.6125732136881423,1,2,1,2,2,0,2,2,0,2,0,0,1.1667991227933967,2.191995607110472,0,1.3593154025528698
1,0,0,0,-1.1172721918246462,1,0,1,0,0,0,0,0,0,0,1,2,0.1629377330323022,-0.8675512258671538,1,0.7764904847853892
0,0,0,0,0.5532302205040753,1,0,1,0,0,2,0,0,0,0,1,1,0.3324639942171226,0.5581019488579861,0,1.0088059693294988
1,0,0,0,0.0643026851883519,1,2,1,0,2,2,0,2,2,0,1,2,1.3811999825271402,0.5585210769498313,1,8.685812657960426
0,0,0,0,-0.8728084241667845,1,2,1,0,0,2,0,2,2,0,1,0,1.0986562138857725,-0.5196749096355598,1,0.5954054695698668
1,0,1,1,-0.9135523854430948,1,0,0,0,2,0,0,0,0,1,0,3,-0.5068572008645872,-0.7974906564092247,0,0.8729555842847727
0,0,1,1,1.5310852911355222,1,2,0,2,2,0,0,2,0,2,1,1,0.1463175113475158,1.142256212024051,0,0.7460434886530077
0,0,1,1,-0.6283446565089229,1,0,2,1,1,1,1,1,1,1,0,3,-1.46418196990828,-0.8228368762792375,0,1.3095311112390318
0,0,0,0,1.24587756220135,1,2,0,2,2,2,2,2,0,2,1,1,0.5003282332334644,1.1374472686544572,0,0.9129687403990914
0,0,1,0,-0.791320501614164,1,2,0,2,2,0,2,2,0,0,1,2,0.3790006149345245,-0.5743600959347432,0,0.7258248645942357
0,0,0,0,0.6754621043330061,1,2,1,0,0,0,0,0,2,0,1,2,0.6548962949019775,0.7162235363499369,0,1.0603459938839666
1,0,0,0,-1.2395040756535771,1,0,0,0,2,0,0,0,0,0,0,3,-0.5168293338754589,-0.964568349442712,0,0.7781889292571349
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,2,0,0,1,2,0.526920587929123,-0.9437663604632324,1,0.7614064197131377
1,0,0,0,0.797693988161937,1,2,0,2,0,0,2,2,2,2,1,1,0.4970041888965074,0.8534769567426433,0,1.0699302858095276
0,0,1,1,1.490341329859212,1,2,0,2,0,2,2,0,0,2,1,1,-0.0215467276688259,0.8694920617257846,0,0.5834180696095457
0,1,0,0,0.4309983366751445,1,2,1,0,2,0,0,2,0,0,1,2,0.8460288442770204,0.6862448480963709,0,1.592221569554717
0,0,0,0,-0.7098325790615434,1,0,1,2,2,0,0,2,2,0,1,1,1.1402067680977384,-0.3780537333383605,1,0.5325956352104582
0,1,1,0,-0.3023929662984406,1,2,0,2,0,0,2,2,0,0,1,1,0.1562896443583875,-0.2341163228493845,0,0.7742121971789785
0,1,1,0,-0.9950403079957154,1,2,1,0,2,0,0,0,0,0,1,1,0.526920587929123,-0.727959511909416,1,0.7315879628793395
0,1,1,1,1.1236456783724194,1,0,0,2,2,2,2,0,2,1,1,1,0.3341260163856011,0.9587222265423222,0,0.8532246819397856
1,1,0,0,-0.5876006952326126,1,2,1,0,0,0,0,2,2,0,1,2,1.0188791497987983,-0.2341604415958946,1,0.39850266260014866
0,0,1,1,1.24587756220135,1,2,1,2,0,0,0,2,2,1,1,1,1.1584890119510036,1.7770587961836308,0,1.4263510718049475
1,1,1,1,1.368109446030281,1,2,1,0,2,2,2,2,2,1,1,2,1.451004913603243,2.114633385105133,0,1.5456609785430346
0,0,1,1,0.0643026851883519,1,2,2,1,1,1,1,1,1,2,0,1,-1.3245721077560746,-0.6128095835182352,0,-9.530077658860233
0,0,0,0,1.6125732136881423,1,2,1,0,0,2,2,2,2,2,1,1,1.419426492402149,2.457590461100858,0,1.5240179113976866
0,0,1,0,0.5939741817803856,1,2,1,0,0,2,0,2,2,0,1,2,1.1867433888151402,1.0693499834162248,0,1.8003307487388456
1,0,0,0,1.1236456783724194,1,2,1,0,2,0,0,2,0,0,1,0,0.8343946890976701,1.3974169824648146,0,1.2436455809530171
1,0,1,0,1.6125732136881423,0,1,0,2,2,2,0,0,0,2,0,0,-0.7544985039679034,0.2994337380696746,0,0.18568691054022585
0,0,1,1,-0.5876006952326126,1,0,0,0,0,2,2,0,0,1,1,1,-0.3456410505221597,-0.5851030107099358,0,0.9957493506339572
0,0,0,0,-0.9542963467194052,1,2,1,0,0,0,0,2,2,0,0,2,0.9839766842607472,-0.6291555791002016,1,0.6592874228881379
0,0,0,0,-1.1987601143772668,1,0,0,0,2,0,2,2,2,0,1,2,0.3490842159019089,-0.8996696733264564,0,0.7505001730841018
1,0,1,0,0.5939741817803856,1,2,1,0,2,0,0,0,0,1,1,2,0.4687498120323708,0.6031251296714726,0,1.0154063058156126
0,0,0,0,-0.0579291986405789,1,0,0,0,2,2,2,2,2,2,0,3,0.4787219450432425,0.0943698042910507,0,-1.6290541990157184
0,0,1,1,0.7162060656093164,1,0,2,1,1,1,1,1,1,2,0,0,-1.4841262359300234,-0.5966621222955638,0,-0.8330872230018745
1,0,0,0,-0.9135523854430948,1,0,1,2,0,2,0,0,0,0,1,3,0.5003282332334644,-0.6158758364006823,0,0.6741549211783491
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,2,0,0,0,0,3,-0.5234774225493735,-0.9857232883942716,0,0.7699471195894945
0,0,1,1,0.797693988161937,1,0,2,1,1,1,1,1,1,1,1,2,-1.4758161250876305,-0.5261824247457894,0,-0.6596294225035214
1,1,1,1,1.2866215234776603,1,2,1,2,0,2,2,2,2,2,1,0,1.5557123102173966,2.124626281189655,0,1.6513218863671097
1,0,1,1,1.2051336009250395,1,2,2,1,1,1,1,1,1,2,1,0,-1.3478404181147754,-0.3788478707755411,0,-0.3143617193021123
0,0,0,1,-1.1987601143772668,1,0,0,2,0,0,2,0,2,0,1,0,-0.0099125724894757,-0.929096877248647,0,0.7750482069811734
0,1,0,0,0.960669833267178,1,2,1,2,2,2,0,2,2,1,0,2,1.5191478225108668,1.7013069084259078,0,1.7709590220397256
0,0,0,0,0.5532302205040753,1,0,0,0,0,0,0,0,2,1,0,1,-0.3040904963101938,0.178923381977525,0,0.32341577763864576
0,0,1,1,-0.9950403079957154,1,0,0,2,2,0,0,0,0,0,0,3,-0.3373309396797665,-0.7946008785128177,0,0.7985614975873311
1,1,0,0,-0.0986731599168891,1,0,0,2,2,0,0,2,2,0,1,2,0.330801972048644,-0.0758844384911585,0,0.7690484277089616
0,0,1,1,0.512486259227765,1,2,2,1,1,1,1,1,1,1,1,1,-1.2929936865549807,-0.4706148635164054,0,-0.9182975251386191
0,0,0,1,-1.2802480369298874,1,0,1,0,0,0,0,2,0,0,1,2,0.4837080115486781,-0.9723553082017324,1,0.7595054084468659
0,0,1,1,-0.8728084241667845,0,1,0,2,0,0,0,2,2,0,0,2,-0.4736167574950145,-0.757938200162982,0,0.8683901062097769
0,0,1,0,-1.0357842692720256,1,0,1,0,0,2,0,0,0,0,1,0,0.3440981493964733,-0.7881374821490981,1,0.7609089127246741
0,0,0,0,0.3902543753988342,1,0,1,0,2,2,2,2,2,0,1,0,1.2964368519347298,0.9018752216641472,0,2.3109932354824827
0,0,1,0,0.6754621043330061,1,0,2,1,1,1,1,1,1,2,1,0,-1.4841262359300234,-0.5779337144020558,0,-0.8556123440451836
1,0,0,0,-0.9542963467194052,1,2,1,0,2,0,0,2,2,0,1,1,1.1468548567716528,-0.6020225499965326,0,0.6308549247475503
0,0,1,0,0.1050466464646622,1,0,0,2,0,0,0,2,0,1,1,0,-0.0880276144079715,-0.0299347640009614,0,-0.2849663935824118
0,0,1,1,0.6347181430566958,1,0,2,1,1,1,1,1,1,2,0,0,-1.4675060142452372,-0.5410283829464149,0,-0.8523915518483735
0,0,1,1,0.5532302205040753,1,0,2,1,1,1,1,1,1,2,1,3,-1.4907743246039378,-0.5983386346629451,0,-1.0815364245969232
1,0,1,0,-0.1394171211931994,0,1,0,0,0,0,0,2,0,0,0,3,-1.0320562061038352,-0.5620950844049546,0,4.03175076055417
1,0,1,1,-0.0986731599168891,1,0,1,0,2,2,0,0,0,0,0,0,0.5734572086465244,0.1265764892433733,0,-1.2827854033456185
1,1,0,0,-1.2802480369298874,1,0,1,0,0,0,2,0,0,0,0,2,0.3291399498801655,-0.9744068299144488,0,0.7611078492657841
1,0,1,1,1.368109446030281,1,2,0,2,0,2,2,2,2,2,1,3,0.6382760732171912,1.5136919388920012,0,1.1064114375382348
0,0,0,0,1.3273654847539706,1,2,1,2,2,2,0,2,2,0,1,1,1.5374300663641316,2.128155780910457,0,1.6032929930409592
1,0,0,0,1.6125732136881423,1,2,1,0,2,2,0,2,2,2,1,0,1.2000395661629697,2.283475827999021,0,1.416044746753821
0,0,0,0,-0.8320644628904743,1,2,1,2,0,0,0,0,0,0,1,2,0.4704118342008493,-0.59822833779667,1,0.7189687391749784
1,0,1,1,1.5718292524118322,1,2,0,2,2,0,2,0,0,1,1,1,0.0682024694290198,1.0877033819643973,0,0.691998434496249
1,0,0,0,-1.1172721918246462,1,0,2,1,1,1,1,1,1,0,0,3,-1.454209836897408,-0.9571343406557716,1,0.8566706910449912
1,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,2,0,0,-1.4558718590658866,-0.5188807721983792,0,-0.6504759718623366
0,1,1,0,-0.3023929662984406,1,0,1,0,2,2,0,2,2,0,1,2,1.1202625020759949,0.1020023474372861,1,-0.3373171958524226
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4824642137615447,-0.9984515467624158,0,0.779889144885364
0,0,1,1,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,2,-1.5073945462887242,-0.998782437361241,0,0.7801476030819636
1,0,0,0,0.227278530293593,1,2,1,0,0,2,2,2,0,1,0,0,1.0039209502824906,0.5833819906082337,0,2.5668152194342104
0,1,1,0,1.368109446030281,0,1,0,0,2,2,0,2,0,1,0,0,-0.6398189743428778,0.3282212201674698,0,0.23990859877463716
1,0,1,0,1.4495973685829016,1,2,1,0,2,2,2,2,2,2,1,0,1.5025276008260804,2.3508892726663486,1,1.6217532699887092
1,0,0,0,-1.1172721918246462,0,1,0,0,0,0,0,0,0,0,0,3,-1.346178395946297,-0.963156549554391,0,0.8620607910964249
0,0,1,1,1.6125732136881423,1,2,1,2,2,0,0,2,2,1,1,2,1.3080710071140806,2.214650583443373,0,1.3733643624020082
0,0,0,0,-0.0171852373642686,0,1,0,2,0,0,0,0,0,1,0,3,-1.1517218022342968,-0.5980959815571398,0,34.802893255387666
1,0,0,0,0.4309983366751445,1,2,1,0,0,0,0,2,2,1,0,3,0.982314662092268,0.7226648733404015,0,1.6767231143286159
1,0,1,1,1.6125732136881423,1,0,2,1,1,1,1,1,1,2,0,1,-1.509056568457203,-0.4059147217594451,0,-0.25171863101401204
1,0,1,0,0.9199258719908678,1,2,1,2,2,0,0,2,0,0,1,2,1.0620917261792426,1.303973477356569,1,1.4174766870449684
0,0,0,0,0.797693988161937,1,0,0,2,0,2,2,0,0,1,0,1,-0.2276374765601766,0.3348390321439745,0,0.41975875099111315
0,0,0,0,0.4309983366751445,1,0,1,0,2,2,0,2,0,0,1,2,0.8925654649944222,0.7371358221956916,0,1.7102985312708794
0,1,1,0,0.1865345690172827,1,2,1,0,0,0,0,0,0,0,1,2,0.3889727479453962,0.2580282944700106,1,1.3832733301359488
0,0,1,1,1.2866215234776603,0,1,0,0,2,0,2,2,2,2,1,2,-0.338992961848245,0.5030417532134674,0,0.3909788108112601
1,0,1,1,-1.1987601143772668,1,0,1,2,2,0,0,2,0,0,0,2,0.8327326669291911,-0.897772567226525,0,0.7489176161761946
0,0,0,0,0.1457906077409725,0,1,0,2,0,0,0,0,0,2,0,0,-1.1218054032016815,-0.5104320322417084,0,-3.501131109547178
0,0,1,1,-0.9135523854430948,1,2,1,2,0,0,0,2,2,0,1,2,1.178433277972747,-0.5376532988383974,1,0.5885303430931579
0,0,0,0,0.3495104141225239,1,0,2,1,1,1,1,1,1,2,0,3,-1.4675060142452372,-0.6389058220789184,0,-1.8280022461789778
1,0,1,1,-0.22090504374582,1,2,1,0,2,0,2,0,0,0,1,1,0.6781646052606785,-0.0581045836476161,0,0.26302968308171804
0,0,1,1,0.960669833267178,1,2,1,0,0,2,0,2,2,1,1,1,1.1634750784564392,1.4259838708300596,0,1.4843641607651794
0,0,0,0,-1.076528230548336,1,0,2,1,1,1,1,1,1,0,0,3,-1.4658439920767583,-0.957619646867382,0,0.8895443887984367
1,0,0,0,-1.1987601143772668,1,2,1,0,0,0,0,0,0,0,1,2,0.3191678168692938,-0.9060889509436658,1,0.7558551040166713
0,0,1,1,-1.0357842692720256,1,0,0,2,0,0,0,0,0,0,0,3,-0.4686306909895784,-0.8527935051595485,0,0.8233311998056435
0,0,1,1,-1.1580161531009563,1,0,2,1,1,1,1,1,1,0,0,3,-1.4608579255713223,-0.9796128420026324,0,0.845940567736821
1,0,0,0,0.0235587239120416,1,0,1,2,0,0,2,2,0,2,1,2,0.802816267896576,0.3283976951535099,0,13.939536639573912
0,1,0,0,-0.22090504374582,1,2,1,0,0,2,0,0,0,0,1,2,0.4404954351682337,-0.0652077018357311,1,0.29518430512053423
1,0,1,0,1.6125732136881423,1,2,2,1,1,1,1,1,1,2,1,0,-1.3711087284734764,-0.2467784030977634,0,-0.1530339218108135
1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4974224132778524,-0.9986500811217108,0,0.7800442198033237
1,1,0,0,1.5718292524118322,0,1,0,2,2,0,0,2,2,1,1,2,-0.2774981416145356,0.7509229304800763,0,0.4777382335440391
0,0,0,0,-0.791320501614164,1,2,1,0,0,0,0,0,2,0,1,2,0.703094937787858,-0.4710339916082507,0,0.5952505851262777
0,0,1,1,-0.3023929662984406,0,1,0,2,2,2,0,2,2,0,1,1,-0.2060311883699544,-0.3444131891244619,1,1.1389589954435326
1,0,0,0,1.4088534073065913,1,0,0,0,0,0,2,0,0,2,0,0,-0.4736167574950145,0.4309517214160768,0,0.30588826288177057
1,0,0,0,-1.2802480369298874,0,1,0,0,0,0,0,0,2,0,1,2,-0.9755474523755616,-0.991723437919636,1,0.7746338282211697
1,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,0,0,0,2,-0.6797075063863649,-0.9715170520180416,1,0.7837949637283533
0,0,0,0,0.4309983366751445,1,2,2,1,1,1,1,1,1,2,1,1,-1.2996417752288951,-0.4831445875252542,0,-1.1209894480159301
0,0,0,0,-0.3838808888510611,1,0,1,2,0,0,0,0,0,0,1,0,0.3391120828910372,-0.2227116268765415,0,0.5801581515118082
0,0,1,1,1.2866215234776603,1,0,2,1,1,1,1,1,1,2,0,3,-1.4824642137615447,-0.4436362500255215,0,-0.34480711066172703
1,0,0,1,1.0014137945434884,1,0,2,1,1,1,1,1,1,2,1,3,-1.5024084797832884,-0.4909315462842747,0,-0.49023844983888426
0,1,1,0,-1.2802480369298874,1,0,1,0,0,0,0,0,0,0,1,3,0.1878680655594816,-0.9762818766411252,1,0.7625724457131826
0,1,1,1,1.6125732136881423,1,2,0,2,2,2,2,2,2,2,1,1,0.7728998688639604,1.8275527015643611,0,1.133314559643798
0,0,0,0,-0.9950403079957154,1,2,0,2,0,0,2,0,2,0,0,2,0.2111363759181826,-0.7586882188536525,1,0.7624698343948085
0,0,1,0,1.1643896396487294,1,2,1,0,2,0,0,2,2,2,1,0,1.205025632668405,1.6270771174227807,0,1.397364818458565
1,0,0,0,1.2866215234776603,1,2,1,2,2,0,0,0,0,1,1,1,0.6482482062280629,1.3260990287313497,0,1.0306830754291938
1,1,1,0,1.5718292524118322,1,2,2,1,1,1,1,1,1,2,0,0,-1.3578125511256471,-0.2325501073482784,0,-0.1479487081637213
0,0,1,1,1.3273654847539706,1,2,1,2,2,0,2,2,0,2,1,1,1.1385447459292597,1.8236040737517132,0,1.3738522620163813
1,0,0,0,-1.1987601143772668,1,0,2,1,1,1,1,1,1,1,0,3,-1.5024084797832884,-0.980296682573538,0,0.8177588416701564
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,1,2,-0.6364949300059205,-0.9872233257756128,1,0.7711187967474133
1,0,0,1,-0.0986731599168891,1,0,0,0,2,2,0,2,0,1,0,1,-0.0099125724894757,-0.1558937852870996,0,1.579900607403336
1,0,1,1,-0.7098325790615434,1,0,0,0,2,2,2,0,2,0,1,3,0.1562896443583875,-0.5346752834489703,0,0.75324139694441
0,0,1,1,-0.9950403079957154,1,0,0,0,0,0,2,2,2,0,1,2,0.1247112231572934,-0.7583793876280823,0,0.762159463826814
1,0,0,0,-1.0357842692720256,1,2,1,0,0,0,0,2,2,0,0,3,1.0039209502824906,-0.718165150184189,1,0.6933539845019397
0,0,1,1,1.5310852911355222,1,2,1,2,2,2,0,2,2,1,1,1,1.4410327805923713,2.491495717793817,0,1.6272742819872634
1,0,1,1,1.2051336009250395,1,0,0,2,2,2,2,2,2,2,0,2,0.7080810042932936,1.2935393938069468,0,1.0733576698998755
0,0,1,1,-1.076528230548336,1,0,2,1,1,1,1,1,1,0,0,3,-1.499084435446331,-0.9572887562685568,0,0.8892370205479481
0,0,1,1,-0.7505765403378537,1,0,1,0,0,0,0,0,2,0,1,0,0.5352306987715161,-0.4987626237898052,0,0.6645060123585789
0,0,0,0,-0.4246248501273714,1,2,1,0,0,0,0,2,0,0,1,0,0.6432621397226272,-0.2035420315179331,0,0.47934554809234126
1,0,1,1,-0.4246248501273714,1,0,2,1,1,1,1,1,1,1,0,3,-1.4841262359300234,-0.822108916961822,0,1.9360829134593052
1,0,1,1,-0.6690886177852331,1,0,0,2,0,2,0,2,0,2,0,3,-0.0182226833318689,-0.5555875692947251,0,0.8303646998715796
1,0,0,0,-0.9135523854430948,1,2,2,1,1,1,1,1,1,2,0,0,-1.2996417752288951,-0.8963607673382041,0,0.9811815738442276
0,0,0,1,-0.791320501614164,1,0,0,2,2,0,0,0,0,0,1,2,-0.2924563411308434,-0.6700536571150003,0,0.8467538194046543
0,0,1,0,-0.506112772679992,1,2,1,2,0,0,0,0,0,0,0,2,0.5850913638258751,-0.3048386735049642,1,0.6023137331444298
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,0.1629377330323022,-0.9477149882758802,0,0.7645920710475763
1,0,0,0,0.8384379494382472,1,2,0,0,2,2,2,0,2,2,1,0,0.3025475951845074,0.7389667501758579,0,0.881361286987266
0,0,1,1,-0.8728084241667845,1,0,2,1,1,1,1,1,1,1,0,3,-1.4691680364137156,-0.9041697854704794,0,1.0359315520283088
1,0,1,0,1.490341329859212,1,0,2,1,1,1,1,1,1,2,0,3,-1.4924363467724169,-0.405826484266425,0,-0.27230438835428533
0,0,0,0,-1.1580161531009563,1,0,1,0,0,0,0,0,0,0,1,0,0.2028262650757895,-0.8869193555850574,1,0.7658954956803055
1,0,1,0,1.6125732136881423,1,2,0,2,2,2,2,2,2,2,1,0,0.8061403122335331,1.7520214075391882,0,1.0864755737397571
1,1,1,0,1.0421577558197987,0,1,0,0,2,2,0,0,2,0,1,2,-0.648129085185271,0.1623126739164983,1,0.15574674084617576
0,0,1,1,-0.6690886177852331,1,0,2,1,1,1,1,1,1,0,0,2,-1.4758161250876305,-0.8655658822742024,0,1.293649091116411
1,0,1,0,0.4309983366751445,1,0,1,2,0,2,2,0,0,1,1,0,0.6465861840595843,0.5541092022988282,0,1.2856411618044732
0,0,1,0,-1.2395040756535771,1,2,1,0,0,2,2,2,2,0,1,2,1.3163811179564735,-0.9002432170310868,1,0.7262930672949972
1,0,1,0,-0.7505765403378537,1,0,0,0,2,2,2,2,2,2,0,3,0.5701331643095673,-0.4859902466751512,0,0.6474892573332955
0,0,1,0,0.8384379494382472,1,0,1,0,0,2,0,2,2,1,1,0,0.9989348837770544,1.1986620294371253,1,1.4296371368211898
0,0,0,0,-0.0171852373642686,1,0,2,1,1,1,1,1,1,1,0,0,-1.4708300585821945,-0.7185842782760344,0,41.81404440593348
0,0,1,0,0.0643026851883519,1,2,2,1,1,1,1,1,1,0,0,2,-1.3328822185984677,-0.6631490732861804,0,-10.312929722043808
0,1,0,0,-0.7098325790615434,1,2,1,0,0,0,0,0,0,0,1,3,0.3208298390377723,-0.5018950547920173,1,0.7070611713195294
0,1,0,0,-1.0357842692720256,1,0,1,2,0,0,0,0,0,0,0,0,0.3873107257769176,-0.7851815261329261,1,0.7580550790607883
0,0,1,1,-0.7098325790615434,1,2,1,0,2,2,0,2,2,0,1,0,1.3479595391575674,-0.3194419785997844,0,0.45002439733340044
1,0,1,0,1.1643896396487294,1,0,2,1,1,1,1,1,1,1,1,1,-1.4708300585821945,-0.4549968272518545,0,-0.39075994131063974
0,0,0,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,0,0,-1.1583698909082112,-0.9941499689776876,1,0.7765291883295674
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,0,0,3,-0.648129085185271,-0.9873777413883978,0,0.7712394105724931
1,0,0,0,-0.9950403079957154,1,2,1,0,0,0,0,0,2,0,0,0,0.6548962949019775,-0.7150106598087218,1,0.7185745683498488
1,0,1,1,0.0235587239120416,1,0,0,2,0,2,0,2,2,1,0,1,0.330801972048644,0.0750016745731473,0,3.18360514148271
0,0,0,0,-0.791320501614164,1,0,1,0,2,2,0,0,0,0,1,2,0.480383967211721,-0.5169174879786829,1,0.6532340397149524
0,0,1,0,-1.2802480369298874,0,1,0,0,0,0,0,0,0,0,1,2,-1.3295581742615106,-0.996422084422954,1,0.7783039346128854
1,0,0,0,-0.506112772679992,1,0,0,0,2,0,0,0,0,0,1,3,-0.4320662032830487,-0.5556537474144901,0,1.0978852489182727
1,0,0,0,-1.1987601143772668,0,1,0,0,0,0,2,0,0,0,0,2,-1.1434116913919037,-0.9711199832994516,0,0.8101036826737683
0,0,0,0,-0.791320501614164,1,0,2,1,1,1,1,1,1,1,0,2,-1.5007464576148095,-0.8993608421008862,0,1.1365317090437284
0,0,1,0,0.3087664528462136,1,2,0,0,2,0,0,0,0,0,0,1,-0.2725120751090997,0.0422655646627042,0,0.13688522270829495
1,0,1,1,0.4309983366751445,1,2,0,2,0,0,2,0,2,1,1,1,0.2360667084453621,0.392678708818625,0,0.9110910075613539
1,0,1,0,-1.076528230548336,1,0,1,0,2,2,0,0,2,0,1,2,0.8709591768041999,-0.7730929895891776,1,0.7181353611092931
